,0,1
0,model.conv2.0,
1,model.conv2.1,
2,model.conv31,
3,model.conv32,0.9
4,model.conv33,0.9
5,model.conv34.0,0.9
6,model.conv34.1,0.9
7,model.conv41,0.9
8,model.conv42.0,
9,model.conv42.1,0.9
10,model.conv43,
11,model.conv44.0,
12,model.conv44.1,0.7
13,model.conv45.0,
14,model.conv45.1,
15,model.conv46.0,
16,model.conv46.1,
