,model.conv2,model.conv31,model.conv32,model.conv33,model.conv34,model.conv41,model.conv42,model.conv43,model.conv44,model.conv45,model.conv46
0.1,0.6442835330963135,0.31075310707092285,0.2471802830696106,0.008152173832058907,0.4506267309188843,0.008108108304440975,0.7495758533477783,0.3873659074306488,0.6195303201675415,0.7640479803085327,0.9560445547103882
0.2,0.8121247291564941,0.31075310707092285,0.24049317836761475,0.0,0.6883259415626526,0.051020409911870956,0.8575966358184814,0.4721296429634094,0.9261225461959839,0.9390439987182617,0.9564990997314453
0.3,0.8844937682151794,0.4227304458618164,0.3546558618545532,0.0,0.8570164442062378,0.16754846274852753,0.9003088474273682,0.7453029155731201,0.9398064613342285,0.9486379623413086,0.9550538063049316
0.4,0.8814833760261536,0.6000086069107056,0.2286737561225891,0.5861632227897644,0.8931602239608765,0.47947531938552856,0.9293853044509888,0.7667984366416931,0.9502641558647156,0.9513433575630188,0.9550538063049316
0.5,0.9071947336196899,0.6207400560379028,0.8926925659179688,0.6884675621986389,0.9140652418136597,0.7092541456222534,0.9419118165969849,0.8900116682052612,0.9519863128662109,0.9413458108901978,0.9557774066925049
0.6,0.9291951656341553,0.6207400560379028,0.8948147296905518,0.7824254035949707,0.9298664331436157,0.7673003077507019,0.9457718133926392,0.9058473110198975,0.952339231967926,0.9503277540206909,0.9550538063049316
0.7,0.9441874027252197,0.7454742789268494,0.9259767532348633,0.8258814811706543,0.9430902600288391,0.8573282957077026,0.9492478370666504,0.9215614795684814,0.952339231967926,0.9525569677352905,0.9550538063049316
0.8,0.9515542984008789,0.8359534740447998,0.9323134422302246,0.8658440113067627,0.9569270610809326,0.914682149887085,0.9500234723091125,0.9451003074645996,0.9574589729309082,0.9564293026924133,0.9550538063049316
0.9,0.9544534683227539,0.8568977117538452,0.9417768120765686,0.9111078977584839,0.9605712890625,0.9246187806129456,0.9519749879837036,0.9493685364723206,0.9564293026924133,0.9554334878921509,0.9550538063049316
