,model.conv2.0,model.conv2.1,model.conv31,model.conv32,model.conv33,model.conv34.0,model.conv34.1,model.conv41,model.conv42.0,model.conv42.1,model.conv43,model.conv44.0,model.conv44.1,model.conv45.0,model.conv45.1,model.conv46.0,model.conv46.1
0.1,0.45327451825141907,0.36181068420410156,0.06883431226015091,0.11683168262243271,0.16371214389801025,0.11581657826900482,0.7192904949188232,0.12114537507295609,0.09326121211051941,0.7903406620025635,0.2727150321006775,0.7295726537704468,0.6546670198440552,0.3550724685192108,0.334285706281662,0.7620398998260498,0.4599730968475342
0.2,0.7432214617729187,0.8472721576690674,0.3335418105125427,0.17790238559246063,0.3265306055545807,0.2607463002204895,0.8008360862731934,0.4255772829055786,0.5037965178489685,0.8448927998542786,0.49371159076690674,0.7931138277053833,0.6320010423660278,0.7084472179412842,0.5463834404945374,0.8594003319740295,0.4540508985519409
0.3,0.8381983041763306,0.858401358127594,0.4504837989807129,0.5326125621795654,0.37791410088539124,0.5180167555809021,0.8730036020278931,0.6814748644828796,0.7622693777084351,0.8823498487472534,0.793214738368988,0.8367569446563721,0.8828151226043701,0.760890781879425,0.8658869862556458,0.9043766260147095,0.5141950845718384
0.4,0.8886824250221252,0.8841676712036133,0.6567554473876953,0.8126465678215027,0.3947383463382721,0.676247239112854,0.8967887759208679,0.7938781380653381,0.8123924136161804,0.8893333673477173,0.804997444152832,0.8386235237121582,0.9017481803894043,0.8084719181060791,0.8716450929641724,0.8931586146354675,0.8221397399902344
0.5,0.8961082696914673,0.8807330131530762,0.6152423024177551,0.8509286046028137,0.7403998970985413,0.7954672574996948,0.892772912979126,0.8383973836898804,0.8490779995918274,0.8976345062255859,0.8392485976219177,0.8643680810928345,0.8959745168685913,0.8808184862136841,0.8850961923599243,0.8926445245742798,0.8581113815307617
0.6,0.8958014249801636,0.8861891031265259,0.8250944018363953,0.8618268966674805,0.8350940942764282,0.8642340898513794,0.8966308832168579,0.8635357618331909,0.8742033839225769,0.9033962488174438,0.8738226890563965,0.880405068397522,0.8951506614685059,0.8989323377609253,0.8846133947372437,0.8974697589874268,0.8501783609390259
0.7,0.9053354859352112,0.8970382213592529,0.8451221585273743,0.8691366910934448,0.8589763641357422,0.8684861660003662,0.8990729451179504,0.8756939172744751,0.8876822590827942,0.897783637046814,0.9015514254570007,0.885026752948761,0.9013847708702087,0.8971654176712036,0.8867766261100769,0.8971654176712036,0.8954951167106628
0.8,0.8980463147163391,0.9003812074661255,0.8746848702430725,0.8962129354476929,0.8794397115707397,0.8926782011985779,0.895673394203186,0.8935490846633911,0.88507080078125,0.8948277235031128,0.8980249166488647,0.8890495300292969,0.8995429873466492,0.8971654176712036,0.8986246585845947,0.8971654176712036,0.8939926028251648
0.9,0.8968946933746338,0.8973000645637512,0.8861008882522583,0.8990344405174255,0.903006374835968,0.8997105360031128,0.9004117250442505,0.9026430249214172,0.893512487411499,0.8992233276367188,0.8979113101959229,0.8968946933746338,0.9015487432479858,0.8971654176712036,0.8938714861869812,0.8971654176712036,0.8978360891342163
