,trial_index,arm_name,trial_status,generation_method,is_feasible,num_params,val_mean_f1,conv10_channels,conv20_channels,conv31_channels,conv32_channels,conv33_channels,conv34_channels,conv41_channels,conv42_channels,conv43_channels,conv44_channels,conv45_channels,last_channels,head_features,learning_rate,dropout
0,0,0_0,COMPLETED,Sobol,False,449154.0,0.8807470202445984,32,16,16,32,16,128,8,128,32,256,128,256,8,0.00019909921770521226,0.0518389567732811
1,1,1_0,COMPLETED,Sobol,False,219858.0,0.8553758263587952,64,16,8,16,16,64,16,32,64,256,16,256,4,0.0008067679719447563,0.44289602525532246
2,2,2_0,COMPLETED,Sobol,False,232930.0,0.8995440006256104,64,32,8,64,64,64,32,128,64,128,64,64,8,0.0010290486682475884,0.48657565331086516
3,3,3_0,COMPLETED,Sobol,False,375410.0,0.9054973125457764,32,32,16,16,64,128,32,128,64,256,64,128,4,0.0012970938463908847,0.35292668966576457
