,0,1
0,model.conv2.0,0.9
1,model.conv2.1,
2,model.conv31,
3,model.conv32,
4,model.conv33,
5,model.conv34.0,0.9
6,model.conv34.1,0.8
7,model.conv41,
8,model.conv42.0,
9,model.conv42.1,
10,model.conv43,
11,model.conv44.0,0.9
12,model.conv44.1,0.9
13,model.conv45.0,0.6
14,model.conv45.1,
15,model.conv46.0,0.6
16,model.conv46.1,
