,model.conv2,model.conv31,model.conv32,model.conv33,model.conv34,model.conv41,model.conv42,model.conv43,model.conv44,model.conv45,model.conv46
0.1,0.6707025766372681,0.29721856117248535,0.25064268708229065,0.010227647610008717,0.4535514712333679,0.008488740772008896,0.7520256042480469,0.38723087310791016,0.6263917684555054,0.7705748081207275,0.9592928886413574
0.2,0.8477058410644531,0.29721856117248535,0.2512947916984558,0.0,0.6957420110702515,0.06126309186220169,0.8685532808303833,0.4795132279396057,0.9212563037872314,0.9375647306442261,0.9598807692527771
0.3,0.8890835046768188,0.43362969160079956,0.3506351709365845,0.0,0.8683567047119141,0.17312197387218475,0.9040032625198364,0.7419877052307129,0.9457365274429321,0.9558190107345581,0.959525465965271
0.4,0.8907800316810608,0.628799319267273,0.2433503270149231,0.587182879447937,0.914717435836792,0.4956110715866089,0.933207631111145,0.7708052396774292,0.9554775357246399,0.9528848528862,0.9596215486526489
0.5,0.9081897735595703,0.6529616713523865,0.9084867238998413,0.6854945421218872,0.922173261642456,0.7352531552314758,0.9483517408370972,0.9002947807312012,0.958547830581665,0.9523493647575378,0.9599734544754028
0.6,0.939115047454834,0.6529616713523865,0.9046916961669922,0.7792140245437622,0.9409074187278748,0.7859491109848022,0.951633095741272,0.9132455587387085,0.9587324857711792,0.9563292860984802,0.9597975611686707
0.7,0.9496291875839233,0.7825993299484253,0.9388911724090576,0.8204877376556396,0.9494104385375977,0.8571140766143799,0.9555647373199463,0.9267349243164062,0.9590822458267212,0.958306074142456,0.9597975611686707
0.8,0.9551833868026733,0.855055570602417,0.9448730945587158,0.8555909395217896,0.9552925825119019,0.919224739074707,0.9568880796432495,0.9515497088432312,0.9608314037322998,0.9601210355758667,0.9597975611686707
0.9,0.9584349393844604,0.8717386722564697,0.951289176940918,0.9179725646972656,0.9593496322631836,0.9373170733451843,0.9573226571083069,0.9525234699249268,0.9603137969970703,0.9596818685531616,0.9597975611686707
