,model.conv1,model.conv2,model.conv31,model.conv32,model.conv33,model.conv34,model.conv41,model.conv42,model.conv43,model.conv44,model.conv45,model.conv46
0.1,0.030501089990139008,0.6279742121696472,0.3168635070323944,0.2235882431268692,0.005263158120214939,0.4207119941711426,0.0,0.7569260001182556,0.3862559199333191,0.6249977350234985,0.7519900798797607,0.949769914150238
0.2,0.030501089990139008,0.808362603187561,0.3168635070323944,0.2121552973985672,0.0,0.6451639533042908,0.035353533923625946,0.858814001083374,0.45310309529304504,0.9193614721298218,0.9351338744163513,0.953667402267456
0.3,0.46739131212234497,0.8721039891242981,0.39997169375419617,0.3383844196796417,0.0,0.8249989748001099,0.18104338645935059,0.892520546913147,0.7310030460357666,0.9340312480926514,0.9538054466247559,0.9522332549095154
0.4,0.5579122304916382,0.8603603839874268,0.5976834297180176,0.22667528688907623,0.5771604776382446,0.8637740015983582,0.4407389760017395,0.918063759803772,0.7534409165382385,0.9416620135307312,0.9478493332862854,0.9522332549095154
0.5,0.5982906222343445,0.8884599208831787,0.6262422800064087,0.8768386840820312,0.6843841671943665,0.8925555944442749,0.6841587424278259,0.929561972618103,0.8960457444190979,0.9457648992538452,0.9392502307891846,0.9522332549095154
0.6,0.5982906222343445,0.9231124520301819,0.6262422800064087,0.8713677525520325,0.7733999490737915,0.9209496974945068,0.7418420910835266,0.9393530488014221,0.90169358253479,0.9491360187530518,0.9481937885284424,0.9522332549095154
0.7,0.6902731657028198,0.9376488924026489,0.7373924255371094,0.9063711166381836,0.8210312128067017,0.9348269701004028,0.8468502759933472,0.9389439821243286,0.9158347249031067,0.9503947496414185,0.9473199844360352,0.9522332549095154
0.8,0.9489027261734009,0.9466627240180969,0.827370285987854,0.9224109649658203,0.8510650396347046,0.9457404613494873,0.9076236486434937,0.9427613019943237,0.9453843235969543,0.953667402267456,0.9522332549095154,0.9522332549095154
0.9,0.946727991104126,0.952776312828064,0.8521378040313721,0.9384523630142212,0.9073862433433533,0.9524977207183838,0.9183752536773682,0.9447994828224182,0.9435412883758545,0.953667402267456,0.9522332549095154,0.9522332549095154
