epoch,step,train_loss,val_accuracy_fire,val_accuracy_smoke,val_f1_fire,val_f1_smoke,val_loss,val_loss_fire,val_loss_smoke,val_precision_fire,val_precision_smoke,val_recall_fire,val_recall_smoke
0,268,,0.8208954930305481,0.5188899040222168,0.21439647674560547,0.0,61.10711669921875,25.457242965698242,35.649879455566406,0.35455867648124695,0.0,0.17463548481464386,0.0
0,268,67.93475341796875,,,,,,,,,,,
1,537,,0.8432835936546326,0.5510727763175964,0.2644146978855133,0.16965891420841217,58.48216247558594,23.14890480041504,35.333248138427734,0.34326431155204773,0.38988471031188965,0.23888491094112396,0.1535770148038864
1,537,61.84783172607422,,,,,,,,,,,
2,806,,0.8603078126907349,0.5788246393203735,0.28349390625953674,0.1579989343881607,54.23358917236328,20.585750579833984,33.6478385925293,0.37734413146972656,0.374901682138443,0.25929003953933716,0.12417882680892944
2,806,59.45936584472656,,,,,,,,,,,
3,1075,,0.8808302283287048,0.6203358173370361,0.3204631805419922,0.2285754680633545,50.42498016357422,17.984617233276367,32.44036102294922,0.36794841289520264,0.3912821114063263,0.30318376421928406,0.18508905172348022
3,1075,56.278961181640625,,,,,,,,,,,
4,1344,,0.8896921873092651,0.6448227763175964,0.3317038416862488,0.25159087777137756,48.95209884643555,17.210777282714844,31.741315841674805,0.37398794293403625,0.3977561891078949,0.31655848026275635,0.22314953804016113
4,1344,53.733551025390625,,,,,,,,,,,
5,1613,,0.9039179086685181,0.6518190503120422,0.3529176115989685,0.2564701437950134,46.974945068359375,15.6788330078125,31.296106338500977,0.39152902364730835,0.43389755487442017,0.3295319676399231,0.227168470621109
5,1613,51.810569763183594,,,,,,,,,,,
6,1882,,0.9141790866851807,0.7173507213592529,0.35149261355400085,0.36826229095458984,43.93635559082031,14.557816505432129,29.378538131713867,0.39416685700416565,0.5021457076072693,0.32799965143203735,0.3442375361919403
6,1882,50.296478271484375,,,,,,,,,,,
7,2151,,0.9113805890083313,0.7063899040222168,0.3538212776184082,0.3456416130065918,42.9176025390625,13.936813354492188,28.98077964782715,0.3844698369503021,0.4472719728946686,0.3413112163543701,0.3249834477901459
7,2151,48.8598518371582,,,,,,,,,,,
8,2420,,0.9186100959777832,0.7133861780166626,0.36636948585510254,0.34588971734046936,42.292152404785156,14.345361709594727,27.94680404663086,0.3847191333770752,0.46664702892303467,0.35752251744270325,0.32151100039482117
8,2420,47.890167236328125,,,,,,,,,,,
9,2689,,0.9251399040222168,0.7285447716712952,0.36990275979042053,0.3682822287082672,40.02366638183594,12.628548622131348,27.395109176635742,0.40509065985679626,0.4867667555809021,0.3548899292945862,0.34789544343948364
9,2689,46.57895278930664,,,,,,,,,,,
10,2958,,0.9307369589805603,0.7541977763175964,0.3766193985939026,0.40949881076812744,38.571956634521484,12.255881309509277,26.316068649291992,0.40575340390205383,0.5159899592399597,0.3643059730529785,0.4063619077205658
