,0,1
0,model.conv2,0.9
1,model.conv31,
2,model.conv32,
3,model.conv33,
4,model.conv34,0.8
5,model.conv41,
6,model.conv42,0.7
7,model.conv43,
8,model.conv44,0.4
9,model.conv45,0.6
10,model.conv46,0.1
