,model.conv2,model.conv31,model.conv32,model.conv33,model.conv34,model.conv41,model.conv42,model.conv43,model.conv44,model.conv45,model.conv46
0.1,0.6714410781860352,0.29815539717674255,0.25476717948913574,0.010087423957884312,0.47052663564682007,0.00916646234691143,0.7562978863716125,0.3831382989883423,0.6210031509399414,0.7723897695541382,0.9606776237487793
0.2,0.8474177122116089,0.29815539717674255,0.2436186820268631,0.0,0.7001050114631653,0.060187872499227524,0.8661671876907349,0.47632238268852234,0.9248840808868408,0.9380276203155518,0.9605861902236938
0.3,0.886332631111145,0.433210551738739,0.35053837299346924,0.0,0.8703984618186951,0.1742548942565918,0.9050278663635254,0.7391046285629272,0.9476077556610107,0.956748366355896,0.9607506990432739
0.4,0.8901978731155396,0.6294993162155151,0.24176104366779327,0.5892083048820496,0.9159244298934937,0.5044208765029907,0.9314562678337097,0.7681074142456055,0.9551206827163696,0.9540420770645142,0.9607676267623901
0.5,0.9065946936607361,0.6474339365959167,0.910943329334259,0.6911173462867737,0.9243580102920532,0.734853982925415,0.9493468999862671,0.8997066020965576,0.9595378637313843,0.9509061574935913,0.961126983165741
0.6,0.9393112063407898,0.6474339365959167,0.9054346084594727,0.7833065986633301,0.9411616325378418,0.7859961986541748,0.9526840448379517,0.9137957096099854,0.9592243432998657,0.9570087790489197,0.9609473943710327
0.7,0.949833333492279,0.7790292501449585,0.9405606985092163,0.8261191844940186,0.9512133598327637,0.8555815815925598,0.9557383060455322,0.9260107278823853,0.9591000080108643,0.9578893184661865,0.9609473943710327
0.8,0.9546158313751221,0.8510521054267883,0.9458150267601013,0.8609273433685303,0.9573650360107422,0.9242324829101562,0.9557181596755981,0.951203465461731,0.9619157910346985,0.9615566730499268,0.9609473943710327
0.9,0.9588490128517151,0.8681439757347107,0.9498258829116821,0.9203624725341797,0.9609076976776123,0.9370056390762329,0.9562242031097412,0.9529986381530762,0.9617265462875366,0.9604086875915527,0.9609473943710327
