,model.conv2.0,model.conv2.1,model.conv31,model.conv32,model.conv33,model.conv34.0,model.conv34.1,model.conv41,model.conv42.0,model.conv42.1,model.conv43,model.conv44.0,model.conv44.1,model.conv45.0,model.conv45.1,model.conv46.0,model.conv46.1
0.1,0.38117310404777527,0.32292062044143677,0.0013614704366773367,0.0,0.02723735384643078,0.3042086064815521,0.6687942147254944,0.006028131116181612,0.3477382957935333,0.7735238075256348,0.03205791115760803,0.6094235777854919,0.5833306908607483,0.7067996263504028,0.409541517496109,0.7416345477104187,0.11953353136777878
0.2,0.8129828572273254,0.8946598768234253,0.23877950012683868,0.5033560991287231,0.1535816639661789,0.5667482614517212,0.8790285587310791,0.7526230812072754,0.7663078308105469,0.8558542132377625,0.5146576762199402,0.8513802886009216,0.8490756154060364,0.7921022176742554,0.8524969816207886,0.7575094699859619,0.22491678595542908
0.3,0.8314617872238159,0.9338986873626709,0.3689100444316864,0.6811286211013794,0.23489932715892792,0.6978916525840759,0.9230047464370728,0.8302422761917114,0.8423428535461426,0.927496075630188,0.6986315250396729,0.8791955709457397,0.9061383008956909,0.8938072919845581,0.9205403327941895,0.8947337865829468,0.30280300974845886
0.4,0.9202063083648682,0.9400421380996704,0.7915374040603638,0.8267842531204224,0.7631505727767944,0.8109180927276611,0.9388254880905151,0.889394998550415,0.8594006299972534,0.9383598566055298,0.8345322608947754,0.9023956656455994,0.921594500541687,0.8971562385559082,0.9300782680511475,0.9353774785995483,0.794253945350647
0.5,0.9360365867614746,0.9381279945373535,0.6997405290603638,0.8936110138893127,0.8684837818145752,0.9025030136108398,0.9427423477172852,0.917926549911499,0.8897565603256226,0.9376667737960815,0.9087837338447571,0.9218716621398926,0.9426136016845703,0.94178307056427,0.9393067359924316,0.9391646385192871,0.867378830909729
0.6,0.9369188547134399,0.93935227394104,0.7408795356750488,0.9150797128677368,0.889502763748169,0.9200642704963684,0.9433307647705078,0.9359393119812012,0.9248935580253601,0.9413412809371948,0.9310450553894043,0.9316767454147339,0.9391812682151794,0.9399545192718506,0.9428603053092957,0.9406673312187195,0.8771320581436157
0.7,0.9377439618110657,0.9398757219314575,0.869429886341095,0.9332278966903687,0.9092071652412415,0.9317013025283813,0.9417300820350647,0.9395188093185425,0.9334290623664856,0.9393844604492188,0.9375711679458618,0.9417511224746704,0.9402528405189514,0.9411716461181641,0.9426500201225281,0.9411716461181641,0.9375742673873901
0.8,0.9407551288604736,0.9407165050506592,0.9380711317062378,0.9385950565338135,0.9332835078239441,0.9372939467430115,0.9413716793060303,0.9393762350082397,0.93736732006073,0.9406009316444397,0.9396356344223022,0.9388079047203064,0.9393206834793091,0.9416390657424927,0.9426208734512329,0.9411716461181641,0.9367374777793884
0.9,0.9411716461181641,0.9413323998451233,0.9347259998321533,0.9389981031417847,0.9377354383468628,0.9413894414901733,0.9414163827896118,0.9407904744148254,0.9377890825271606,0.9411716461181641,0.9401330947875977,0.9411716461181641,0.9411492347717285,0.9411716461181641,0.9444729089736938,0.9411716461181641,0.9404074549674988
