epoch,step,train_loss,v_fire_acc,v_fire_f1,v_fire_loss,v_fire_pre,v_fire_rec,v_loss,v_smoke_acc,v_smoke_f1,v_smoke_loss,v_smoke_pre,v_smoke_rec
0,268,,0.8227611780166626,0.5819581747055054,24.614444732666016,0.7471751570701599,0.476576566696167,60.568023681640625,0.5188899040222168,0.0,35.953575134277344,0.0,0.0
0,268,67.81269836425781,,,,,,,,,,,
1,537,,0.8479477763175964,0.6749750971794128,21.991464614868164,0.7555803656578064,0.6099098920822144,56.417579650878906,0.5408115386962891,0.13221684098243713,34.42610549926758,0.7281553149223328,0.07270964980125427
1,537,61.30320739746094,,,,,,,,,,,
2,806,,0.8722015023231506,0.748161792755127,19.336612701416016,0.7636022567749023,0.7333333492279053,53.39022445678711,0.5958488583564758,0.3555225133895874,34.05361557006836,0.7635782957077026,0.23170140385627747
2,806,57.70704650878906,,,,,,,,,,,
3,1075,,0.8812966346740723,0.7627039551734924,17.659557342529297,0.7903381586074829,0.7369369268417358,50.09701156616211,0.623833954334259,0.42699822783470154,32.437461853027344,0.7992021441459656,0.29132330417633057
3,1075,55.206451416015625,,,,,,,,,,,
4,1344,,0.8892257213592529,0.7688564658164978,17.274106979370117,0.8359788656234741,0.7117117047309875,49.3429069519043,0.6466884613037109,0.47668394446372986,32.06879806518555,0.8293269276618958,0.3344643712043762
4,1344,53.196311950683594,,,,,,,,,,,
5,1613,,0.9032182693481445,0.8134831190109253,15.25843334197998,0.8116592168807983,0.815315306186676,46.46049118041992,0.6655783653259277,0.5389067530632019,31.20204734802246,0.8003820180892944,0.40620455145835876
5,1613,51.57090759277344,,,,,,,,,,,
6,1882,,0.9055503606796265,0.8221343755722046,14.767465591430664,0.8020565509796143,0.8432432413101196,45.18525695800781,0.6683768630027771,0.5325443744659424,30.417800903320312,0.8273748755455017,0.3926320970058441
6,1882,50.23521423339844,,,,,,,,,,,
7,2151,,0.9165111780166626,0.8325538039207458,13.850479125976562,0.8657587766647339,0.8018018007278442,43.334930419921875,0.6986940503120422,0.6285221576690674,29.484455108642578,0.7724381685256958,0.5298109650611877
7,2151,48.82658004760742,,,,,,,,,,,
8,2420,,0.9104477763175964,0.83433997631073,14.883844375610352,0.8004966974258423,0.8711711764335632,43.87531280517578,0.7285447716712952,0.695128321647644,28.991474151611328,0.7561253309249878,0.6432380080223083
8,2420,47.91175079345703,,,,,,,,,,,
9,2689,,0.9237406849861145,0.8419526219367981,12.912351608276367,0.9082377552986145,0.7846846580505371,40.98554229736328,0.7103545069694519,0.6183159351348877,28.07319450378418,0.8446683287620544,0.4876393675804138
9,2689,47.039981842041016,,,,,,,,,,,
10,2958,,0.919309675693512,0.8305583000183105,12.873882293701172,0.9098712205886841,0.7639639377593994,39.771141052246094,0.7276119589805603,0.6458459496498108,26.897262573242188,0.862348198890686,0.5162385106086731
10,2958,45.667354583740234,,,,,,,,,,,
11,3227,,0.9284048676490784,0.8575406074523926,12.09176254272461,0.8842105269432068,0.8324324488639832,39.315670013427734,0.7390391826629639,0.7002410888671875,27.223915100097656,0.7826347351074219,0.6335433721542358
11,3227,44.85585021972656,,,,,,,,,,,
12,3496,,0.93260258436203,0.8642555475234985,11.449134826660156,0.9028459191322327,0.8288288116455078,37.2348747253418,0.7569962739944458,0.7137362360954285,25.78573989868164,0.8237159252166748,0.6296655535697937
12,3496,44.79779815673828,,,,,,,,,,,
13,3765,,0.9309701323509216,0.8665464520454407,11.533660888671875,0.8673285245895386,0.8657657504081726,36.57675552368164,0.7691231369972229,0.7265193462371826,25.043092727661133,0.844572901725769,0.6374212503433228
13,3765,43.506038665771484,,,,,,,,,,,
14,4034,,0.9298040866851807,0.8560497164726257,11.970932960510254,0.9123343229293823,0.8063063025474548,37.20296096801758,0.7658582329750061,0.721265971660614,25.23203468322754,0.8440545797348022,0.6296655535697937
14,4034,42.81107711791992,,,,,,,,,,,
15,4303,,0.9286380410194397,0.8494094610214233,12.664369583129883,0.9360086917877197,0.777477502822876,36.88886642456055,0.7922108173370361,0.775397002696991,24.224498748779297,0.8077731132507324,0.7455162405967712
15,4303,41.968421936035156,,,,,,,,,,,
16,4572,,0.9395988583564758,0.8813559412956238,11.145709991455078,0.8965517282485962,0.8666666746139526,34.63982009887695,0.8001399040222168,0.7807623147964478,23.494104385375977,0.8266522288322449,0.7396994829177856
16,4572,41.92133712768555,,,,,,,,,,,
17,4841,,0.9377332329750061,0.8733997344970703,10.757118225097656,0.9219219088554382,0.8297297358512878,36.1607666015625,0.7441697716712952,0.6739970445632935,25.403644561767578,0.8709677457809448,0.5496849417686462
17,4841,41.19388961791992,,,,,,,,,,,
18,5110,,0.9416977763175964,0.8879928588867188,10.641058921813965,0.8832442164421082,0.892792820930481,34.23002243041992,0.8106343150138855,0.8007850646972656,23.588953018188477,0.8107302784919739,0.7910809516906738
18,5110,40.539817810058594,,,,,,,,,,,
19,5379,,0.9319030046463013,0.8582524061203003,11.56295108795166,0.9305263161659241,0.7963963747024536,35.00982666015625,0.7961753606796265,0.7757824659347534,23.446870803833008,0.8239781856536865,0.7329132556915283
19,5379,39.838375091552734,,,,,,,,,,,
20,5648,,0.9407649040222168,0.8877099752426147,10.475346565246582,0.8715277910232544,0.9045044779777527,33.2384033203125,0.7798507213592529,0.736900806427002,22.7630558013916,0.866885244846344,0.6408143639564514
20,5648,40.099029541015625,,,,,,,,,,,
