,0,1
0,model.conv1.1,
1,model.conv2.0,0.9
2,model.conv2.1,0.8
3,model.conv31,
4,model.conv32,
5,model.conv33,
6,model.conv34.0,
7,model.conv34.1,0.9
8,model.conv41,0.9
9,model.conv42.0,
10,model.conv42.1,
11,model.conv43,
12,model.conv44.0,
13,model.conv44.1,
14,model.conv45.0,
15,model.conv45.1,0.9
16,model.conv46.0,
17,model.conv46.1,
